week_no,published,rank,artist,title,in_june16_100,source_url
196,2017-06-16,1,Lorde,Sober,yes,https://stereogum.com/1947334/the-5-best-songs-of-the-week-196/
196,2017-06-16,2,SZA,Supermodel,yes,https://stereogum.com/1947334/the-5-best-songs-of-the-week-196/
196,2017-06-16,3,Chelsea Wolfe,16 Psyche,yes,https://stereogum.com/1947334/the-5-best-songs-of-the-week-196/
196,2017-06-16,4,Emily Haines & The Soft Skeleton,Fatal Gift,yes,https://stereogum.com/1947334/the-5-best-songs-of-the-week-196/
196,2017-06-16,5,Algiers,Cleveland,yes,https://stereogum.com/1947334/the-5-best-songs-of-the-week-196/
195,2017-06-09,1,Waxahatchee,Never Been Wrong,yes,https://stereogum.com/1945923/the-5-best-songs-of-the-week-195/
195,2017-06-09,2,Alvvays,In Undertow,yes,https://stereogum.com/1945923/the-5-best-songs-of-the-week-195/
195,2017-06-09,3,Todd Terje,Maskindans (Feat. Det Gylne Triangel),yes,https://stereogum.com/1945923/the-5-best-songs-of-the-week-195/
195,2017-06-09,4,Julia Michaels,Uh Huh,yes,https://stereogum.com/1945923/the-5-best-songs-of-the-week-195/
195,2017-06-09,5,Guerilla Toss,Betty Dreams Of Green Men,yes,https://stereogum.com/1945923/the-5-best-songs-of-the-week-195/
194,2017-06-02,1,Carly Rae Jepsen,Cut To The Feeling,yes,https://stereogum.com/1944503/the-5-best-songs-of-the-week-194/
194,2017-06-02,2,Rainer Maria,Lower Worlds,yes,https://stereogum.com/1944503/the-5-best-songs-of-the-week-194/
194,2017-06-02,3,Lorde,Perfect Places,yes,https://stereogum.com/1944503/the-5-best-songs-of-the-week-194/
194,2017-06-02,4,The War On Drugs,Holding On,yes,https://stereogum.com/1944503/the-5-best-songs-of-the-week-194/
194,2017-06-02,5,Katie Dey,Battery (Demo),yes,https://stereogum.com/1944503/the-5-best-songs-of-the-week-194/
193,2017-05-26,1,Downtown Boys,A Wall,yes,https://stereogum.com/1943297/the-5-best-songs-of-the-week-193/
193,2017-05-26,2,Katie Ellen,Lucy Stone,yes,https://stereogum.com/1943297/the-5-best-songs-of-the-week-193/
193,2017-05-26,3,Amy O,Lavender Night,yes,https://stereogum.com/1943297/the-5-best-songs-of-the-week-193/
193,2017-05-26,4,The Pollyseeds,Intention,yes,https://stereogum.com/1943297/the-5-best-songs-of-the-week-193/
193,2017-05-26,5,Crumb,Plants,yes,https://stereogum.com/1943297/the-5-best-songs-of-the-week-193/
192,2017-05-19,1,Broken Social Scene,Hug Of Thunder,yes,https://stereogum.com/1942151/the-5-best-songs-of-the-week-192/
192,2017-05-19,2,Soccer Mommy,Out Worn,yes,https://stereogum.com/1942151/the-5-best-songs-of-the-week-192/
192,2017-05-19,3,Selena Gomez,Bad Liar,yes,https://stereogum.com/1942151/the-5-best-songs-of-the-week-192/
192,2017-05-19,4,Guerilla Toss,The String Game,yes,https://stereogum.com/1942151/the-5-best-songs-of-the-week-192/
192,2017-05-19,5,Grizzly Bear,Mourning Sound,yes,https://stereogum.com/1942151/the-5-best-songs-of-the-week-192/
191,2017-05-12,1,The National,The System Only Dreams In Total Darkness,yes,https://stereogum.com/1940817/the-5-best-songs-of-the-week-191/
191,2017-05-12,2,Hundred Waters,Particle,yes,https://stereogum.com/1940817/the-5-best-songs-of-the-week-191/
191,2017-05-12,3,Elder,The Falling Veil,yes,https://stereogum.com/1940817/the-5-best-songs-of-the-week-191/
191,2017-05-12,4,Hundredth,Youth,yes,https://stereogum.com/1940817/the-5-best-songs-of-the-week-191/
191,2017-05-12,5,"Now, Now",SGL,yes,https://stereogum.com/1940817/the-5-best-songs-of-the-week-191/
190,2017-05-05,1,(Sandy) Alex G,Sportstar,yes,https://stereogum.com/1939548/the-5-best-songs-of-the-week-190/
190,2017-05-05,2,LCD Soundsystem,Call The Police,yes,https://stereogum.com/1939548/the-5-best-songs-of-the-week-190/
190,2017-05-05,3,Paramore,Told You So,yes,https://stereogum.com/1939548/the-5-best-songs-of-the-week-190/
190,2017-05-05,4,Japanese Breakfast,Machinist,yes,https://stereogum.com/1939548/the-5-best-songs-of-the-week-190/
190,2017-05-05,5,Waxahatchee,No Curse,yes,https://stereogum.com/1939548/the-5-best-songs-of-the-week-190/
189,2017-04-28,1,Frank Ocean,Lens,yes,https://stereogum.com/1938132/the-5-best-songs-of-the-week-189/
189,2017-04-28,2,The War On Drugs,Thinking Of A Place,yes,https://stereogum.com/1938132/the-5-best-songs-of-the-week-189/
189,2017-04-28,3,Palm,Walkie Talkie,yes,https://stereogum.com/1938132/the-5-best-songs-of-the-week-189/
189,2017-04-28,4,Jeff Rosenstock,Dramamine,yes,https://stereogum.com/1938132/the-5-best-songs-of-the-week-189/
189,2017-04-28,5,SZA,Love Galore (Feat. Travis Scott),yes,https://stereogum.com/1938132/the-5-best-songs-of-the-week-189/
188,2017-04-21,1,Kendrick Lamar,DNA,yes,https://stereogum.com/1936591/the-5-best-songs-of-the-week-188/
188,2017-04-21,2,Waxahatchee,Silver,yes,https://stereogum.com/1936591/the-5-best-songs-of-the-week-188/
188,2017-04-21,3,EMA,Aryan Nation,yes,https://stereogum.com/1936591/the-5-best-songs-of-the-week-188/
188,2017-04-21,4,Juana Molina,Lentísimo Halo,yes,https://stereogum.com/1936591/the-5-best-songs-of-the-week-188/
188,2017-04-21,5,Perfume Genius,Go Ahead,yes,https://stereogum.com/1936591/the-5-best-songs-of-the-week-188/
187,2017-04-14,1,Flasher,Burn Blue,yes,https://stereogum.com/1935179/the-5-best-songs-of-the-week-187/
187,2017-04-14,2,Kamasi Washington,Truth,yes,https://stereogum.com/1935179/the-5-best-songs-of-the-week-187/
187,2017-04-14,3,PWR BTTM,LOL,yes,https://stereogum.com/1935179/the-5-best-songs-of-the-week-187/
187,2017-04-14,4,Girlpool,It Gets More Blue,yes,https://stereogum.com/1935179/the-5-best-songs-of-the-week-187/
187,2017-04-14,5,Land Of Talk,Loving,yes,https://stereogum.com/1935179/the-5-best-songs-of-the-week-187/
186,2017-04-07,1,Charly Bliss,Black Hole,yes,https://stereogum.com/1933995/the-5-best-songs-of-the-week-186/
186,2017-04-07,2,(Sandy) Alex G,Proud,yes,https://stereogum.com/1933995/the-5-best-songs-of-the-week-186/
186,2017-04-07,3,Cashmere Cat,9 (After Coachella) (Feat. MØ & SOPHIE),yes,https://stereogum.com/1933995/the-5-best-songs-of-the-week-186/
186,2017-04-07,4,Calvin Harris,"Heatstroke (Feat. Young Thug, Pharrell, & Ariana Grande)",yes,https://stereogum.com/1933995/the-5-best-songs-of-the-week-186/
