display_bar,bar_index,slot_16th,written_lane,midi,t_notation_s,t_stem_s,verdict
15,14,16.0,Ride (middle),51,70.7143,109.1551,ABSENT
15,14,17.0,Ride (middle),51,70.9821,109.4245,ABSENT
15,14,18.0,Ride (middle),51,71.2500,109.6940,ABSENT
15,14,19.0,Ride (middle),51,71.5179,109.9634,ABSENT
21,20,16.0,Ride (middle),51,99.6429,138.4567,CONFIRMED
21,20,18.0,Ride (middle),51,100.1786,138.9946,CONFIRMED
21,20,19.0,Ride (middle),51,100.4464,139.2636,ABSENT
25,24,13.0,Ride (middle),51,118.1250,157.1515,ABSENT
25,24,14.0,Ride (middle),51,118.3929,157.4197,ABSENT
25,24,15.0,Ride (middle),51,118.6607,157.6879,ABSENT
25,24,16.0,Ride (middle),51,118.9286,157.9561,ABSENT
25,24,17.0,Ride (middle),51,119.1964,158.2243,ABSENT
25,24,18.0,Ride (middle),51,119.4643,158.4924,ABSENT
27,26,16.0,Ride (middle),51,128.5714,167.7100,CONFIRMED
27,26,17.0,Ride (middle),51,128.8393,167.9809,ABSENT
27,26,18.0,Ride (middle),51,129.1071,168.2518,CONFIRMED
29,28,12.0,Ride (middle),51,137.1429,176.4171,CONFIRMED
29,28,14.0,Ride (middle),51,137.6786,176.9593,CONFIRMED
29,28,16.0,Ride (middle),51,138.2143,177.5015,ABSENT
29,28,18.0,Ride (middle),51,138.7500,178.0436,ABSENT
29,28,19.0,Ride (middle),51,139.0179,178.3147,ABSENT
33,32,16.0,Ride (middle),51,157.5000,196.9981,CONFIRMED
33,32,17.0,Ride (middle),51,157.7679,197.2695,ABSENT
33,32,18.0,Ride (middle),51,158.0357,197.5409,CONFIRMED
41,40,12.0,Ride (middle),51,195.0000,234.9743,ABSENT
41,40,13.0,Ride (middle),51,195.2679,235.2443,ABSENT
41,40,14.0,Ride (middle),51,195.5357,235.5142,ABSENT
41,40,16.0,Ride (middle),51,196.0714,236.0541,CONFIRMED
41,40,17.0,Ride (middle),51,196.3393,236.3240,ABSENT
41,40,18.0,Ride (middle),51,196.6071,236.5939,ABSENT
43,42,16.0,Ride (middle),51,205.7143,245.8413,ABSENT
43,42,17.0,Ride (middle),51,205.9821,246.1068,ABSENT
43,42,18.0,Ride (middle),51,206.2500,246.3724,ABSENT
43,42,19.0,Ride (middle),51,206.5179,246.6380,ABSENT
45,44,6.0,Ride (middle),51,212.6786,252.8502,ABSENT
45,44,9.0,Ride (middle),51,213.4821,253.6722,CONFIRMED
45,44,12.0,Ride (middle),51,214.2857,254.4942,ABSENT
45,44,13.0,Ride (middle),51,214.5536,254.7682,ABSENT
45,44,14.0,Ride (middle),51,214.8214,255.0422,ABSENT
45,44,16.0,Ride (middle),51,215.3571,255.5902,ABSENT
49,48,10.0,Ride (middle),51,233.0357,273.4562,CONFIRMED
49,48,12.0,Ride (middle),51,233.5714,273.9943,CONFIRMED
49,48,16.0,Ride (middle),51,234.6429,275.0705,ABSENT
49,48,17.0,Ride (middle),51,234.9107,275.3396,ABSENT
49,48,18.0,Ride (middle),51,235.1786,275.6087,ABSENT
49,48,19.0,Ride (middle),51,235.4464,275.8777,ABSENT
55,54,4.0,Ride (middle),51,260.3571,301.0693,ABSENT
55,54,13.0,Crash high (hit),49,262.7679,303.5081,ABSENT
55,54,14.0,Crash medium (hit),57,263.0357,303.7791,ABSENT
55,54,16.0,Crash high (hit),49,263.5714,304.3210,ABSENT
55,54,17.0,Ride (middle),51,263.8393,304.5920,CONFIRMED
57,56,4.0,Ride (middle),51,270.0000,310.8246,ABSENT
57,56,8.0,Ride (middle),51,271.0714,311.9085,ABSENT
57,56,9.0,Ride (middle),51,271.3393,312.1795,CONFIRMED
57,56,10.0,Ride (middle),51,271.6071,312.4505,ABSENT
57,56,11.0,Ride (middle),51,271.8750,312.7214,CONFIRMED
57,56,12.0,Ride (middle),51,272.1429,312.9924,ABSENT
